,Time,Mean,SEM+,SEM-,Condition
0,24,0.8130081300813004,0.8130081300813004,0.8130081300813004,Control
1,48,1.7560975609756095,2.032520325203252,1.479674796747967,Control
2,72,2.7154471544715446,3.1707317073170733,2.260162601626016,Control
0,24,1.7073170731707317,1.9674796747967476,1.463414634146342,M2
1,48,3.2032520325203255,3.609756097560976,2.829268292682927,M2
2,72,4.35230352303523,4.894308943089431,3.8211382113821135,M2
0,24,1.4471544715447155,1.691056910569106,1.2195121951219514,TAM
1,48,2.791327913279133,3.2195121951219514,2.3902439024390247,TAM
2,72,4.417344173441735,4.878048780487806,3.9512195121951215,TAM
